B,K,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_truth_ratio,model_utility,privleak,mia_min_k,mia_loss,mia_min_k_plus_plus,mia_zlib,unlearn_time_s,total_hvp_calls,num_corrections
8,10,0.06595465008942972,0.2822509765625,0.4318510799548488,0.7385866965949279,0.38813675048945667,-14.974999997004982,0.5748749999999999,0.57175,0.6291875,0.50675,45.04628584720194,2,3
8,20,0.0671285141709025,0.28245849609375,0.42894616140848285,0.7393840634298778,0.38816737411395297,-14.974999997004982,0.5748749999999999,0.57175,0.6291875,0.50675,41.26802436262369,6,3
8,30,0.06595465008942972,0.28245849609375,0.4343308352142093,0.7383845958612565,0.38827500529672093,-14.974999997004982,0.5748749999999999,0.57175,0.6291875,0.50675,26.104098312556744,7,3
8,40,0.06541117182856014,0.28282470703125,0.4292182892700101,0.7389880101514933,0.38860652876084784,-14.974999997004982,0.5748749999999999,0.57175,0.6291875,0.50675,29.145288322120905,9,3
8,50,0.06663032576510539,0.28245849609375,0.428340350004974,0.7385810781250577,0.38837979995002586,-14.974999997004982,0.5748749999999999,0.57175,0.6291875,0.50675,29.924127424135804,11,3
16,10,0.06595465008942972,0.27520751953125,0.4341989848619111,0.7455030083990704,0.38600805902374563,-11.206249997758768,0.5560312500000001,0.5515625,0.6025,0.4875,40.93812784738839,50,5
16,20,0.06595465008942972,0.27508544921875,0.43374764688537154,0.7444636907035606,0.38589946031472094,-11.206249997758768,0.5560312500000001,0.5515625,0.6025,0.4875,46.8211139831692,100,5
16,30,0.06595465008942972,0.27486572265625,0.43285334752160914,0.7446335406597075,0.3859482773352213,-11.206249997758768,0.5560312500000001,0.5515625,0.6025,0.4875,49.563472425565124,150,5
16,40,0.06595465008942972,0.27498779296875,0.4326038427728173,0.7448591250698853,0.3862756614981939,-11.206249997758768,0.5560312500000001,0.5515625,0.6025,0.4875,56.679982885718346,186,5
16,50,0.06595465008942972,0.27486572265625,0.4311213333467595,0.7461140160926256,0.3859944617838017,-11.206249997758768,0.5560312500000001,0.5515625,0.6025,0.4875,63.84186040610075,216,5
32,10,0.0640315731663528,0.2680419921875,0.43065553892941627,0.7439937617636329,0.38322126789299155,-7.149999998570012,0.5357500000000001,0.5365625,0.5846250000000001,0.4741875,138.1311690043658,19,8
32,20,0.06476686728399986,0.26810302734375,0.4247563675362933,0.744619058687664,0.3837332874226286,-7.149999998570012,0.5357500000000001,0.5365625,0.5846250000000001,0.4741875,107.26382765173912,41,8
32,30,0.06476686728399986,0.26812744140625,0.427854035996865,0.743657594378447,0.38290105866063145,-7.149999998570012,0.5357500000000001,0.5365625,0.5846250000000001,0.4741875,60.67082821018994,49,8
32,40,0.06476686728399986,0.26834716796875,0.42649096374671897,0.7436431427196643,0.38369999793514303,-7.149999998570012,0.5357500000000001,0.5365625,0.5846250000000001,0.4741875,73.39538920670748,63,8
32,50,0.0640315731663528,0.26806640625,0.4233539629786698,0.7443616588853146,0.3832820407253801,-7.149999998570012,0.5357500000000001,0.5365625,0.5846250000000001,0.4741875,69.78105809725821,75,8
64,10,0.06476686728399986,0.25418701171875,0.4286940717197932,0.747914829444056,0.37900472687883396,-1.768749999646258,0.50884375,0.5103125,0.5615,0.44759374999999996,135.49845742620528,103,12
64,20,0.06476686728399986,0.2541259765625,0.4247086025321181,0.7482752107253934,0.3792843169686338,-1.768749999646258,0.50884375,0.5103125,0.5615,0.44759374999999996,163.8539195768535,166,12
64,30,0.06476686728399986,0.25428466796875,0.4223509978523151,0.7462916469957492,0.37900448016117994,-1.768749999646258,0.50884375,0.5103125,0.5615,0.44759374999999996,192.3248555958271,217,12
64,40,0.06476686728399986,0.25447998046875,0.4214819139382617,0.747087491420569,0.3794373576780383,-1.768749999646258,0.50884375,0.5103125,0.5615,0.44759374999999996,216.34882375225425,244,12
64,50,0.06476686728399986,0.25391845703125,0.42372631169736535,0.7487540183127424,0.3794605771745953,-1.768749999646258,0.50884375,0.5103125,0.5615,0.44759374999999996,211.1358451973647,264,12
128,10,0.06303075617288874,0.22618408203125,0.4200603903529885,0.7597518931735385,0.3654535833207823,7.862499998427494,0.4606875,0.4600937500000001,0.5273125,0.4044375,214.55854625068605,93,14
128,20,0.04219742283955541,0.226226806640625,0.415180790785889,0.75917562262565,0.3656198705680769,7.862499998427494,0.4606875,0.4600937500000001,0.5273125,0.4044375,236.1463052276522,143,14
128,30,0.04219742283955541,0.2264892578125,0.41103033606587774,0.7578952501550656,0.3650020091399587,7.862499998427494,0.4606875,0.4600937500000001,0.5273125,0.4044375,238.3619634974748,157,14
256,10,0.04146212872190835,0.2010986328125,0.4399808825090674,0.766964678676329,0.34911115066709336,9.49999999810002,0.45249999999999996,0.44203125,0.5330625,0.39662500000000006,276.94151475280523,68,12
